U001,200803720,DEC ,16-05-2019 00:00,2019,1929274607,07-05-2019,20190507,20190524,USD,RV,1,,13627.68,20190501,NAM4,1929274607,0
U001,200726979,BJ'S  associates,15-10-2019 00:00,2019,1929932808,27-09-2019,20190927,20191012,USD,RV,1,,163.8,20190927,NAA8,1929932808,0
CA02,140104423,METRO  ,31-01-2020 00:00,2020,2960608332,21-01-2020,20200121,20200202,CAD,RV,1,,88700.32,20200123,CA10,2960608332,0
CA02,140104249,SOB us,24-02-2020 00:00,2020,2960612214,03-02-2020,20200203,20200221,CAD,RV,1,,245437.66,20200211,CA10,2960612214,0
U001,200769623,WAL-MAR llc,05-04-2019 00:00,2019,1928992440,20-03-2019,20190320,20190404,USD,RV,1,,2183.22,20190320,NAH4,1928992440,0
U001,200776463,KROGE foundation,28-03-2019 00:00,2019,1928947435,13-03-2019,20190313,20190328,USD,RV,1,,17283.5,20190313,NAA8,1928947435,0
U001,200769623,WAL-MAR corp,10-02-2020 00:00,2020,1930449125,30-01-2020,20200130,20200214,USD,RV,1,,1898.2,20200130,NAH4,1930449125,0
U001,200769623,WAL-MAR trust,13-09-2019 00:00,2019,1929807080,29-08-2019,20190829,20190913,USD,RV,1,,6995.1,20190829,NAH4,1929807080,0
U001,200762301,C&S WH llc,07-02-2020 00:00,2020,1930431402,23-01-2020,20200123,20200207,USD,RV,1,,29051.79,20200123,NAC6,1930431402,0
U001,200020431,DEC co,13-02-2019 00:00,2019,1928777368,11-02-2019,20190211,20190211,USD,RV,1,,3740.26,20190201,NAM2,1928777368,0
U001,200772595,SAFEW us,17-12-2019 00:00,2019,1930208954,02-12-2019,20191202,20191217,USD,RV,1,,78733.68,20191202,NAA8,1930208954,0
U001,200769623,WAL-MAR corporation,11-09-2019 00:00,2019,1929810145,31-08-2019,20190831,20190915,USD,RV,1,,33302.89,20190831,NAH4,1929810145,0
CA02,140106408,WAL-M associates,26-06-2019 00:00,2019,2960553573,08-06-2019,20190608,20190618,CAD,RV,1,,77191.78,20190608,CA10,2960553573,0
U001,200769623,WAL-MAR foundation,04-09-2019 00:00,2019,1929772770,23-08-2019,20190823,20190907,USD,RV,1,,3014.98,20190823,NAH4,1929772770,0
U001,200744019,TARG foundation,05-09-2019 00:00,2019,1929766224,21-08-2019,20190821,20190905,USD,RV,1,,7664.54,20190821,NAA8,1929766224,0
U001,100043937,RAMO us,15-08-2019 00:00,2019,1929687105,07-08-2019,20190807,20190822,USD,RV,1,,12002.26,20190807,NAA8,1929687105,0
U001,200769623,WAL-MAR corp,23-01-2020 00:00,2020,1930357820,07-01-2020,20200107,20200122,USD,RV,1,,28052.69,20200107,NAH4,1930357820,0
U001,200769623,WAL-MAR corporation,27-08-2019 00:00,2019,1929755091,17-08-2019,20190817,20190901,USD,RV,1,,15852.46,20190817,NAH4,1929755091,0
U001,200769623,WAL-MAR ,09-04-2019 00:00,2019,1929049742,29-03-2019,20190329,20190415,USD,RV,1,,49790.4,20190331,NAH4,1929049742,0
